1	1	Acute Confusional Senile Dementia
2	1	Alzheimer Dementia
3	1	Alzheimer Disease, Early Onset
4	1	Alzheimer Disease, Late Onset
5	1	Alzheimer Sclerosis
6	1	Alzheimer Syndrome
7	1	Alzheimer Type Senile Dementia
8	1	Alzheimer's Disease
9	1	Alzheimer's Disease, Focal Onset
10	1	Alzheimer-Type Dementia (ATD)
11	1	Dementia, Alzheimer Type
12	1	Dementia, Presenile
13	1	Dementia, Primary Senile Degenerative
14	1	Dementia, Senile
15	1	Early Onset Alzheimer Disease
16	1	Familial Alzheimer Disease (FAD)
17	1	Focal Onset Alzheimer's Disease
18	1	Late Onset Alzheimer Disease
19	1	Presenile Alzheimer Dementia
20	1	Primary Senile Degenerative Dementia
21	1	Senile Dementia, Acute Confusional
22	1	Senile Dementia, Alzheimer Type 
23	2	Diabetes Mellitus, Adult-Onset
24	2	Diabetes Mellitus, Ketosis-Resistant
25	2	Diabetes Mellitus, Maturity-Onset
26	2	Diabetes Mellitus, Non Insulin Dependent
27	2	Diabetes Mellitus, Non-Insulin-Dependent
28	2	Diabetes Mellitus, Noninsulin Dependent
29	2	Diabetes Mellitus, Noninsulin-Dependent
30	2	Diabetes Mellitus, Slow-Onset
31	2	Diabetes Mellitus, Stable
32	2	Diabetes Mellitus, Type II
33	2	MODY
34	2	Maturity-Onset Diabetes
35	2	Maturity-Onset Diabetes Mellitus
36	2	NIDDM
37	2	Noninsulin-Dependent Diabetes Mellitus
38	2	Type 2 Diabetes
39	2	Type 2 Diabetes Mellitus 
40	3	Akinetic-Rigid Variant of Huntington Disease
41	3	Chorea, Chronic Progressive Hereditary (Huntington)
42	3	Chronic Progressive Hereditary Chorea (Huntington)
43	3	Huntington Chorea
44	3	Huntington Chronic Progressive Hereditary Chorea
45	3	Huntington Disease, Akinetic-Rigid Variant
46	3	Huntington Disease, Juvenile
47	3	Huntington Disease, Juvenile-Onset
48	3	Huntington Disease, Late Onset
49	3	Huntington's Chorea
50	3	Huntington's Disease
51	3	Juvenile Huntington Disease
52	3	Juvenile-Onset Huntington Disease
53	3	Late-Onset Huntington Disease
54	3	Progressive Chorea, Chronic Hereditary (Huntington)
55	3	Progressive Chorea, Hereditary, Chronic (Huntington) 
56	4	Idiopathic Parkinson Disease
57	4	Idiopathic Parkinson's Disease
58	4	Lewy Body Parkinson Disease
59	4	Lewy Body Parkinson's Disease
60	4	Paralysis Agitans
61	4	Parkinson Disease, Idiopathic
62	4	Parkinson's Disease
63	4	Parkinson's Disease, Idiopathic
64	4	Parkinson's Disease, Lewy Body
65	4	Primary Parkinsonism 
66	5	CJD (Creutzfeldt-Jakob Disease)
67	5	Creutzfeldt Jacob Disease
68	5	Creutzfeldt-Jakob Disease, Familial
69	5	Creutzfeldt-Jakob Disease, New Variant
70	5	Creutzfeldt-Jakob Disease, Variant
71	5	Familial Creutzfeldt-Jakob Disease
72	5	Jakob-Creutzfeldt Disease
73	5	Jakob-Creutzfeldt Syndrome
74	5	New Variant Creutzfeldt-Jakob Disease
75	5	Spongiform Encephalopathy, Subacute
76	5	V-CJD (Variant-Creutzfeldt-Jakob Disease)
77	5	Variant Creutzfeldt-Jakob Disease 
78	6	Encephalopathy, Kuru
79	6	Kuru Encephalopathy 
80	7	Encephalopathy, Subacute Spongiform, Gerstmann-Straussler Type
81	7	Gerstmann-Straussler Disease
82	7	Gerstmann-Straussler Inherited Spongiform Encephalopathy
83	7	Gerstmann-Straussler Syndrome
84	7	Gerstmann-Straussler-Scheinker Syndrome
85	7	Inherited Spongiform Encephalopathy, Gerstmann-Straussler 
87	8	Amyloidosis, Immunoglobulin Light-chain
88	8	Amyloidosis, Primary
89	8	Primary Amyloidosis
90	8	Primary Systemic Amyloidosis
91	8	Light-chain amyloidosis
92	8	Light Chain Associated Amyloidosis
93	8	Immunoglobulin light chain (AL) amyloidosis
94	8	Light chain (AL) amyloidosis
95	9	Amyloidosis VI
96	9	Amyloidosis, Cerebroarterial, Icelandic Type
97	9	Autosomal Dominant Cerebrovascular Amyloidosis
98	9	Cerebral Amyloid Angiopathy, Cst3-Related
99	9	Cerebral Amyloid Angiopathy, Genetic
100	9	Cerebral Amyloid Angiopathy, Hereditary
101	9	Cerebral Hemorrhage, Hereditary, With Amyloidosis
102	9	Familial Cerebral Amyloid Angiopathy
103	9	HCHWA-I
104	9	Hereditary Cerebral Amyloid Angiopathy
105	9	Hereditary Cerebral Amyloid Angiopathy, Icelandic Type
106	9	Hereditary Cerebral Hemorrhage With Amyloidosis
107	9	Icelandic Type Amyloidosis
108	9	Icelandic Type Hereditary Cerebral Amyloid Angiopathy
110	9	HCCAA-I
111	10	Cerebral Amyloid Angiopathy, Itm2b-Related, 1
112	10	Cerebral amyloid angiopathy, British type
113	10	Presenile dementia with spastic ataxia
114	10	Familial dementia, British type
115	10	Dementia Familial British
116	10	Bri Amyloidosis
117	10	Familial British Dementia (FBD)
119	11	Dementia, familial Danish
120	11	Cerebral Amyloid Angiopathy, Itm2b-Related, 2
121	11	Familial Danish dementia
122	11	Heredopathia ophthalmootoencephalica
123	11	Familial dementia, Danish type
124	11	Familial Danish Dementia (FDD)
125	11	HOOE 
126	12	Amyloidosis, Hereditary, With Cerebral Hemorrhage, Dutch Variant
127	12	Cerebral Amyloid Angiopathy, App-Related
128	12	Cerebral Amyloid Angiopathy, App-Related, Arctic Variant
129	12	Cerebral Amyloid Angiopathy, App-Related, Dutch Variant
130	12	Cerebral Amyloid Angiopathy, App-Related, Flemish Variant
131	12	Cerebral Amyloid Angiopathy, App-Related, Iowa Variant
132	12	Cerebral Amyloid Angiopathy, App-Related, Italian Variant
133	12	Cerebral hemorrhage with amyloidosis, hereditary, Dutch type
134	12	Dutch Type Hereditary Cerebral Amyloid Angiopathy
135	12	HCHWAD
136	12	Hereditary Cerebral Amyloid Angiopathy, Dutch Type
137	12	Amyloidosis, Cerebroarterial, App-Related
138	12	ABeta amyloidosis, Dutch type
139	12	ABetaE22Q amyloidosis
140	12	HCHWA, Dutch type
141	12	HCHWA-D 
142	13	47,XX,+21
143	13	47,XY,+21
144	13	Down Syndrome, Partial Trisomy 21
145	13	Down's Syndrome
146	13	Mongolism
147	13	Partial Trisomy 21 Down Syndrome
148	13	Trisomy 21
149	13	Trisomy 21, Meiotic Nondisjunction
150	13	Trisomy 21, Mitotic Nondisjunction
151	13	Trisomy G
152	13	DS
153	14	ALS (Amyotrophic Lateral Sclerosis)
154	14	Amyotrophic Lateral Sclerosis With Dementia
155	14	Amyotrophic Lateral Sclerosis, Guam Form
156	14	Amyotrophic Lateral Sclerosis, Parkinsonism-Dementia Complex of Guam
157	14	Amyotrophic Lateral Sclerosis-Parkinsonism-Dementia Complex 1
158	14	Charcot Disease
159	14	Dementia With Amyotrophic Lateral Sclerosis
160	14	Gehrig's Disease
161	14	Guam Disease
162	14	Guam Form of Amyotrophic Lateral Sclerosis
163	14	Lou Gehrig Disease
164	14	Lou Gehrig's Disease
165	14	Lou-Gehrigs Disease
166	14	Motor Neuron Disease, Amyotrophic Lateral Sclerosis 
167	15	Adenoma, Prolactin-Secreting, Pituitary
168	15	Lactotroph Adenoma
169	15	Macroprolactinoma
170	15	Microprolactinoma
171	15	PRL-Secreting Pituitary Adenoma
172	15	Pituitary Adenoma, Prolactin-Secreting
173	15	Prolactin-Producing Pituitary Adenoma
174	15	Prolactin-Secreting Pituitary Adenoma
175	15	Prolactinoma, Familial 
176	15	Pitutary prolactinoma
177	16	Injection-localized amyloidosis
178	16	Localized A-Ins amyloidosis
179	16	Ains-derived amyloidosis
180	16	Insulin-derived amyloidosis
181	16	LIDA
182	17	Apolipoprotein A-I amyloidosis
183	17	Familial amyloid nephropathy due to apolipoprotein A-I variant
184	17	Familial renal amyloidosis due to apolipoprotein A-I variant
185	17	Hereditary amyloid nephropathy due to apolipoprotein A-I variant
186	17	Hereditary renal amyloidosis due to apolipoprotein A-I variant
187	17	Amyloid Polyneuropathy, Iowa Type
188	17	Familial Amyloid Polyneuropathy, Type III
189	17	Type III Familial Amyloid Polyneuropathy
190	17	Iowa Type Amyloid Polyneuropathy
191	17	Non-neuropathic apolipoprotein A-I amyloidosis
192	17	Apolipoprotein AI-derived amyloidosis
194	17	Hereditary apoliporpotein AI-induced amyloidosis
195	17	Hereditary apoliporpotein AI-associated amyloidosis
196	18	Amyloid cranial neuropathy with lattice corneal dystrophy
197	18	Amyloidosis 5
198	18	Amyloidosis V
199	18	Amyloidosis due to mutant gelsolin
200	18	Amyloidosis, Finnish Type
201	18	Amyloidosis, Meretoja Type
202	18	Cerebral Amyloid Angiopathy, Gsn-Related
203	18	Corneal Dystrophy, Lattice Type II
204	18	Familial Amyloid Polyneuropathy Type IV
205	18	Familial Amyloidosis, Finnish Type
206	18	Finnish type amyloidosis
207	18	Gelsolin-Related Amyloidosis
208	18	Kymenlaakso Syndrome
209	18	Lattice Corneal Dystrophy Type II
