1	Alzheimer Disease	A degenerative disease of the brain characterized by the insidious onset of dementia. Impairment of memory, judgment, attention span, and problem solving skills are followed by severe apraxias and a global loss of cognitive abilities. The condition primarily occurs after age 60, and is marked pathologically by severe cortical atrophy and the triad of senile plaques; neurofibrillary tangles; and neuropil threads.	Amyloidosis	Diseases of the Nervous System	Central Nervous System (CNS)	
2	Diabetes Mellitus, Type 2	A subclass of diabetes mellitus that is not insulin-responsive or dependent (NIDDM). It is characterized initially by insulin resistance and hyperinsulinemia; and eventually by glucose intolerance; hyperglycemia; and overt diabetes. Type II diabetes mellitus is no longer considered a disease exclusively found in adults. Patients seldom develop ketosis but often exhibit obesity.	Amyloidosis	Endocrine, Nutritional and Metabolic Diseases	Pancreas (Islets of Langerhans)	
3	Huntington Disease	A familial disorder inherited as an autosomal dominant trait and characterized by the onset of progressive chorea and dementia in the fourth or fifth decade of life. Common initial manifestations include paranoia; poor impulse control; depression; hallucinations; and delusions. Eventually intellectual impairment; loss of fine motor control; athetosis; and diffuse chorea involving axial and limb musculature develops, leading to a vegetative state within 10-15 years of disease onset. The juvenile variant has a more fulminant course including seizures; ataxia; dementia; and chorea.	Amyloidosis	Diseases of the Nervous System	Central Nervous System (CNS)	
4	Parkinson Disease	A progressive, degenerative neurologic disease characterized by a tremor that is maximal at rest, retropulsion (i.e. a tendency to fall backwards), rigidity, stooped posture, slowness of voluntary movements, and a masklike facial expression. Pathologic features include loss of melanin containing neurons in the substantia nigra and other pigmented nuclei of the brainstem. Lewy bodies are present in the substantia nigra and locus coeruleus but may also be found in a related condition (lewy body disease, diffuse) characterized by dementia in combination with varying degrees of parkinsonism.	Amyloidosis	Diseases of the Nervous System	Central Nervous System (CNS)	
5	Creutzfeldt-Jakob Syndrome	A rare transmissible encephalopathy most prevalent between the ages of 50 and 70 years. Affected individuals may present with sleep disturbances, personality changes, ataxia; aphasia, visual loss, weakness, muscle atrophy, myoclonus, progressive dementia, and death within one year of disease onset. A familial form exhibiting autosomal dominant inheritance and a new variant CJD (potentially associated with encephalopathy, bovine spongiform) have been described. Pathological features include prominent cerebellar and cerebral cortical spongiform degeneration and the presence of prions.	Amyloidosis	Certain Infectious and Parasitic Diseases	Central Nervous System (CNS)	
6	Kuru	A prion disease found exclusively among the Fore linguistic group natives of the highlands of New Guinea. The illness is primarily restricted to adult females and children of both sexes. It is marked by the subacute onset of tremor and ataxia followed by motor weakness and incontinence. Death occurs within 3-6 months of disease onset. The condition is associated with ritual cannibalism, and has become rare since this practice has been discontinued. Pathologic features include a noninflammatory loss of neurons that is most prominent in the cerebellum, glial proliferation, and amyloid plaques.	Amyloidosis	Certain Infectious and Parasitic Diseases	Central Nervous System (CNS)	
7	Gerstmann-Straussler-Scheinker Disease	An autosomal dominant familial prion disease with a wide spectrum of clinical presentations including ataxia, spastic paraparesis, extrapyramidal signs, and dementia. Clinical onset is in the third to sixth decade of life and the mean duration of illness prior to death is five years. Several kindreds with variable clinical and pathologic features have been described. Pathologic features include cerebral prion protein amyloidosis, and spongiform or neurofibrillary degeneration.	Amyloidosis	Certain Infectious and Parasitic Diseases	Central Nervous System (CNS)	
8	Immunoglobulin Light-chain Amyloidosis	A nonproliferative disorder of the plasma cell characterized by excessive production and misfolding of immunoglobulin light chains that form insoluble amyloid fibrils (see amyloid deposits) in various tissues. Clinical features include liver failure; multiple myeloma; nephrotic syndrome; restrictive cardiomyopathy, and neuropathies.	Amyloidosis	Amyloidosis	Kidney, Heart, Peripheral Nervous System (PNS), Autonomic Nervous System (ANS), Liver, Gastrointestinal Tract, Lung, Soft Tissues, Urinary Tract, Larynx	AL Amyloidosis
9	Hereditary Cerebral Amyloid Angiopathy, Icelandic Type	A familial disorder marked by amyloid deposits in the walls of small and medium sized blood vessels of cerebral cortex and meninges.	Amyloidosis	Diseases of the Circulatory System	Central Nervous System (CNS), Skin,  Lymph Node,  Spleen,  Salivary Gland,  Seminal Vesicle	ACys Amyloidosis
10	Dementia, familial British		Amyloidosis	Diseases of the Circulatory System	Central Nervous System (CNS), Pancreas, Heart	ABri Amyloidosis
